peer_count,diff_inturn,diff_noturn,blocks_chain,blocks_target,net_fragmentation,num_reorgs
8,3,1,2962,100000,0.001,20726
8,3,1,5953,100000,0.001,41663
8,3,1,1041,100000,0.001,7279
8,3,1,4017,100000,0.001,28111
8,3,1,6401,100000,0.001,44799
8,3,1,10506,100000,0.001,73534
8,3,1,5714,100000,0.001,39990
8,3,1,642,100000,0.001,4486
8,3,1,4161,100000,0.001,29119
8,3,1,6601,100000,0.001,46199
8,3,1,2306,100000,0.001,16134
8,3,1,441,100000,0.001,3079
8,3,1,290,100000,0.001,2022
8,3,1,7289,100000,0.001,51015
8,3,1,1066,100000,0.001,7454
8,3,1,1305,100000,0.001,9127
8,3,1,945,100000,0.001,6607
8,3,1,2386,100000,0.001,16694
8,3,1,274,100000,0.001,1910
8,3,1,7129,100000,0.001,49895
8,3,1,6369,100000,0.001,44575
8,3,1,4561,100000,0.001,31919
8,3,1,13329,100000,0.001,93295
8,3,1,450,100000,0.001,3142
8,3,1,2233,100000,0.001,15623
8,3,1,5938,100000,0.001,41558
8,3,1,14057,100000,0.001,98391
8,3,1,474,100000,0.001,3310
8,3,1,3073,100000,0.001,21503
8,3,1,938,100000,0.001,6558
8,3,1,3345,100000,0.001,23407
8,3,1,3569,100000,0.001,24975
8,3,1,10,100000,0.001,62
8,3,1,1441,100000,0.001,10079
8,3,1,1017,100000,0.001,7111
8,3,1,1770,100000,0.001,12382
8,3,1,7033,100000,0.001,49223
8,3,1,2889,100000,0.001,20215
8,3,1,1785,100000,0.001,12487
8,3,1,3001,100000,0.001,20999
8,3,1,6721,100000,0.001,47039
8,3,1,3641,100000,0.001,25479
8,3,1,1194,100000,0.001,8350
8,3,1,1081,100000,0.001,7559
8,3,1,7074,100000,0.001,49510
8,3,1,178,100000,0.001,1238
8,3,1,10570,100000,0.001,73982
8,3,1,3329,100000,0.001,23295
8,3,1,4353,100000,0.001,30463
